decoder,shot,converged,iterations,legs,successful_legs,selected_weight,candidate_weights,sampled_error_weight,syndrome_weight
relay_s1_positive_only,51,1,3,1,1,31.284888208517458,[31.284888208517458],9,25
relay_s1_positive_only,52,1,2,1,1,10.42829606950582,[10.42829606950582],3,9
relay_s1_positive_only,53,1,2,1,1,20.85659213901164,[20.85659213901164],6,16
relay_s1_positive_only,54,1,2,1,1,20.85659213901164,[20.85659213901164],6,16
relay_s1_positive_only,55,1,2,1,1,31.284888208517458,[31.284888208517458],9,27
relay_s1_positive_only,56,1,8,1,1,31.284888208517458,[31.284888208517458],9,23
relay_s1_positive_only,57,1,6,1,1,34.76098689835273,[34.76098689835273],10,22
relay_s1_positive_only,58,1,2,1,1,24.332690828846914,[24.332690828846914],7,21
relay_s1_positive_only,59,1,2,1,1,17.380493449176367,[17.380493449176367],5,15
relay_s1_positive_only,60,1,5,1,1,38.23708558818801,[38.23708558818801],11,27
relay_s1_positive_only,61,1,8,1,1,45.18928296785855,[45.18928296785855],13,29
relay_s1_positive_only,62,1,5,1,1,41.71318427802328,[41.71318427802328],12,28
relay_s1_positive_only,63,1,3,1,1,24.33269082884691,[24.33269082884691],7,19
relay_s1_paper_interval,0,1,4,1,1,27.808789518682186,[27.808789518682186],8,22
relay_s1_paper_interval,1,1,2,1,1,20.85659213901164,[20.85659213901164],6,16
relay_s1_paper_interval,2,1,2,1,1,13.904394759341093,[13.904394759341093],4,10
relay_s1_paper_interval,3,1,2,1,1,20.85659213901164,[20.85659213901164],6,18
relay_s1_paper_interval,4,1,3,1,1,27.808789518682186,[27.808789518682186],8,24
relay_s1_paper_interval,5,1,3,1,1,17.380493449176367,[17.380493449176367],5,15
relay_s1_paper_interval,6,1,31,1,1,59.09367772719965,[59.09367772719965],17,35
relay_s1_paper_interval,7,1,3,1,1,34.76098689835273,[34.76098689835273],10,26
relay_s1_paper_interval,8,1,3,1,1,20.85659213901164,[20.85659213901164],6,14
relay_s1_paper_interval,9,1,3,1,1,31.284888208517458,[31.284888208517458],9,21
relay_s1_paper_interval,10,1,4,1,1,34.76098689835273,[34.76098689835273],10,26
relay_s1_paper_interval,11,1,2,1,1,17.380493449176367,[17.380493449176367],5,15
relay_s1_paper_interval,12,1,3,1,1,24.332690828846914,[24.332690828846914],7,19
relay_s1_paper_interval,13,1,2,1,1,13.904394759341093,[13.904394759341093],4,12
relay_s1_paper_interval,14,1,4,1,1,27.808789518682186,[27.808789518682186],8,24
relay_s1_paper_interval,15,1,2,1,1,13.904394759341093,[13.904394759341093],4,12
relay_s1_paper_interval,16,1,6,1,1,38.23708558818801,[38.23708558818801],11,27
relay_s1_paper_interval,17,1,2,1,1,24.33269082884691,[24.33269082884691],7,19
