observation_type,stratum,target,stagnation_threshold,eligible,positives,probability,tp,fp,tn,fn,precision,recall,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
iteration,outcome=failure,2,120,5460,5040,0.9230769230769231,4524,32,388,516,0.9929762949956101,0.8976190476190476,0.9238095238095239,0.0761904761904762,0.10238095238095238,0.9107142857142858
iteration,outcome=failure,2,180,5460,5040,0.9230769230769231,4316,0,420,724,1.0,0.8563492063492063,1.0,0.0,0.14365079365079364,0.9281746031746032
iteration,outcome=failure,2,240,5460,5040,0.9230769230769231,4131,0,420,909,1.0,0.8196428571428571,1.0,0.0,0.18035714285714285,0.9098214285714286
iteration,outcome=failure,3,10,5280,4800,0.9090909090909091,4749,286,194,51,0.9431976166832174,0.989375,0.4041666666666667,0.5958333333333333,0.010625,0.6967708333333333
iteration,outcome=failure,3,20,5280,4800,0.9090909090909091,4716,223,257,84,0.954849159748937,0.9825,0.5354166666666667,0.46458333333333335,0.0175,0.7589583333333334
iteration,outcome=failure,3,40,5280,4800,0.9090909090909091,4649,136,344,151,0.9715778474399164,0.9685416666666666,0.7166666666666667,0.2833333333333333,0.03145833333333333,0.8426041666666666
iteration,outcome=failure,3,60,5280,4800,0.9090909090909091,4569,96,384,231,0.9794212218649517,0.951875,0.8,0.2,0.048125,0.8759375
iteration,outcome=failure,3,80,5280,4800,0.9090909090909091,4490,72,408,310,0.9842174484875055,0.9354166666666667,0.85,0.15,0.06458333333333334,0.8927083333333333
iteration,outcome=failure,3,120,5280,4800,0.9090909090909091,4344,32,448,456,0.9926873857404022,0.905,0.9333333333333333,0.06666666666666667,0.095,0.9191666666666667
iteration,outcome=failure,3,180,5280,4800,0.9090909090909091,4136,0,480,664,1.0,0.8616666666666667,1.0,0.0,0.13833333333333334,0.9308333333333334
iteration,outcome=failure,3,240,5280,4800,0.9090909090909091,3951,0,480,849,1.0,0.823125,1.0,0.0,0.176875,0.9115625
iteration,outcome=failure,4,10,5460,4916,0.9003663003663004,4876,339,205,40,0.9349952061361457,0.9918633034987795,0.37683823529411764,0.6231617647058824,0.008136696501220505,0.6843507693964486
iteration,outcome=failure,4,20,5460,4916,0.9003663003663004,4836,283,261,80,0.944715764797812,0.983726606997559,0.4797794117647059,0.5202205882352942,0.01627339300244101,0.7317530093811324
iteration,outcome=failure,4,40,5460,4916,0.9003663003663004,4756,209,335,160,0.9579053373615307,0.967453213995118,0.6158088235294118,0.38419117647058826,0.03254678600488202,0.7916310187622648
iteration,outcome=failure,4,60,5460,4916,0.9003663003663004,4676,169,375,240,0.9651186790505676,0.951179820992677,0.6893382352941176,0.31066176470588236,0.04882017900732303,0.8202590281433972
