sample_seed,shot,trajectory,shot_class,relay_leg,starting_residual,first_iteration_residual,minimum_residual,ending_residual,iterations_used,global_best_before,global_best_after,net_endpoint_improvement,new_global_best_improvement,decision_churn,residual_vector_movement,frozen_stagnation_steps,churning_stagnation_steps,marginal_saturation_hits,nu_saturation_hits,mu_saturation_hits,accumulator_saturation_hits,mean_marginal_sat_fraction,mean_marginal_near_zero_fraction,converged,category
20260809,18,E0,rescue,29,17,901,5,20,60,1,1,-3,0,23250,6329,0,58,0,0,0,0,0.0,0.04464837446373048,0,stagnant
20260809,18,E0,rescue,30,20,855,3,3,60,1,1,17,0,18472,5931,0,49,0,0,0,0,0.0,0.042689514700673045,0,stagnant
20260809,18,E0,rescue,31,3,851,6,13,60,1,1,-10,0,20834,5506,0,58,0,0,0,0,0.0,0.037013667493210535,0,regressive
20260809,18,E0,rescue,32,13,881,4,9,60,1,1,4,0,26305,6296,0,59,0,0,0,0,0.0,0.04380485692919274,0,stagnant
20260809,18,E1,rescue,1,232,338,8,12,80,232,8,220,224,5684,3702,0,57,388329,2099587,0,0,0.07164567097650254,0.024638571555083248,0,productive
20260809,18,E1,rescue,2,12,868,8,16,60,8,8,-4,0,83755,11096,0,60,0,0,0,0,0.0,0.0808706754044161,0,stagnant
20260809,18,E1,rescue,3,16,842,10,10,60,8,8,6,0,13177,5262,0,60,0,0,0,0,0.0,0.036623273113708825,0,stagnant
20260809,18,E1,rescue,4,10,864,3,10,60,8,3,0,5,22707,6002,0,53,0,0,0,0,0.0,0.04241449206911481,0,productive
20260809,18,E1,rescue,5,10,887,17,65,60,3,3,-55,0,26127,7283,0,60,0,0,0,0,0.0,0.05012250560869052,0,regressive
20260809,18,E1,rescue,6,65,744,1,4,60,3,1,61,2,6016,3835,0,53,0,0,0,0,0.0,0.0317884834888023,0,weak
20260809,18,E1,rescue,7,4,841,2,11,60,1,1,-7,0,18507,4283,1,51,0,0,0,0,0.0,0.02632296217577833,0,regressive
20260809,18,E1,rescue,8,11,865,7,25,60,1,1,-14,0,24872,5570,0,58,0,0,0,0,0.0,0.03717012043924902,0,regressive
20260809,18,E1,rescue,9,25,893,3,26,60,1,1,-1,0,14108,4081,0,54,0,0,0,0,0.0,0.02558423859566261,0,stagnant
20260809,18,E1,rescue,10,26,887,0,0,34,1,0,26,1,16144,3096,0,25,0,0,0,0,0.0,0.034328919311259753,1,productive
20260810,26,E0,rescue,1,233,375,15,19,80,233,15,214,218,6761,4984,0,63,9067,53661,0,0,0.0016728288463809186,0.02954008737749439,0,productive
20260810,26,E0,rescue,2,19,874,1,109,60,15,1,-90,14,69983,8652,2,46,0,0,0,0,0.0,0.0650536761522415,0,productive
20260810,26,E0,rescue,3,109,857,9,70,60,1,1,39,0,15887,4311,0,59,0,0,0,0,0.0,0.025540451450387688,0,stagnant
20260810,26,E0,rescue,4,70,867,9,39,60,1,1,31,0,9879,4163,0,59,0,0,0,0,0.0,0.029077616404927776,0,stagnant
20260810,26,E0,rescue,5,39,846,15,49,60,1,1,-10,0,18848,6214,0,60,0,0,0,0,0.0,0.04211659188412642,0,regressive
20260810,26,E0,rescue,6,49,829,8,18,60,1,1,31,0,10698,5583,0,57,0,0,0,0,0.0,0.041760882827567215,0,stagnant
20260810,26,E0,rescue,7,18,819,12,24,60,1,1,-6,0,13425,6272,0,60,0,0,0,0,0.0,0.047934378320935174,0,regressive
20260810,26,E0,rescue,8,24,846,9,45,60,1,1,-21,0,15117,5437,0,60,0,0,0,0,0.0,0.038369839020742307,0,regressive
20260810,26,E0,rescue,9,45,651,11,11,60,1,1,34,0,7167,4560,0,59,0,0,0,0,0.0,0.03577950958397292,0,stagnant
20260810,26,E0,rescue,10,11,909,10,20,60,1,1,-9,0,22671,6811,0,60,0,0,0,0,0.0,0.04880077340890305,0,regressive
20260810,26,E0,rescue,11,20,899,8,26,60,1,1,-6,0,18545,7144,0,60,0,0,0,0,0.0,0.055587288936119965,0,regressive
20260810,26,E0,rescue,12,26,835,6,33,60,1,1,-7,0,15253,6687,0,54,0,0,0,0,0.0,0.05217976345101745,0,regressive
