configuration,policy,state_percentile,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,correction_hamming_distance,iterations,relay_legs,relay_legs_agree_with_float,edge_saturation,state_saturation,guard_saturation,state_deliberately_clipped,state_clip_candidates,state_nonzero_to_zero,state_value_count,edge_nonzero_to_zero,edge_value_count,edge_exponent_min,edge_exponent_max,state_exponent_min,state_exponent_max,threshold_bucket_equal,threshold_bucket_above
balanced,A_max,,106,1,1,1,32,128,2,0,0,0,0,0,17344512,1593410,17344512,391320,100177920,0,11,0,11,99374,0
balanced,A_max,,107,1,1,1,34,169,3,0,0,0,0,0,22900176,1436025,22900176,391320,132266160,0,9,0,9,144420,0
balanced,A_max,,108,1,1,1,32,18,1,0,0,0,0,0,2439072,165,2439072,0,14087520,0,1,0,1,52997,0
balanced,A_max,,109,1,1,1,46,108,2,0,0,0,0,0,14634432,3024889,14634432,391320,84525120,0,10,0,10,60061,0
balanced,A_max,,110,1,1,1,56,313,5,0,0,0,0,0,42412752,3769516,42412752,391320,244966320,0,26,0,26,215592,0
balanced,A_max,,111,1,1,1,47,178,3,0,0,0,0,0,24119712,555903,24119712,391320,139309920,0,7,0,7,83568,0
balanced,A_max,,112,1,1,1,46,248,4,0,0,0,0,0,33604992,3552204,33604992,391320,194094720,0,29,0,29,163861,0
balanced,A_max,,113,1,1,1,45,132,2,0,0,0,0,0,17886528,3620268,17886528,391320,103308480,0,29,0,29,191517,0
balanced,A_max,,114,1,1,1,40,240,4,0,0,0,0,0,32520960,3468132,32520960,391320,187833600,0,29,0,29,170563,0
balanced,A_max,,115,1,1,1,24,111,2,0,0,0,0,0,15040944,804496,15040944,391320,86873040,0,8,0,8,71521,0
balanced,A_max,,116,1,1,1,33,166,3,0,0,0,0,0,22493664,3989319,22493664,391320,129918240,0,33,0,33,294912,0
balanced,A_max,,117,1,1,1,46,177,3,0,0,0,0,0,23984208,3658574,23984208,391320,138527280,0,29,0,29,159740,0
balanced,A_max,,118,1,1,1,18,23,1,1,0,0,0,0,3116592,204,3116592,0,18000720,0,3,0,3,60656,0
balanced,A_max,,119,1,1,1,34,133,2,0,0,0,0,0,18022032,3637806,18022032,391320,104091120,0,10,0,10,116249,0
balanced,A_max,,120,1,1,1,16,182,3,0,0,0,0,0,24661728,3711330,24661728,391320,142440480,0,31,0,31,266179,0
balanced,A_max,,121,1,1,1,59,172,3,0,0,0,0,0,23306688,3277793,23306688,391320,134614080,0,29,0,29,181693,0
balanced,A_max,,122,1,1,1,29,138,2,0,0,0,0,0,18699552,3996191,18699552,391320,108004320,0,31,0,31,180294,0
balanced,A_max,,123,1,1,1,13,21,1,1,0,0,0,0,2845584,192,2845584,0,16435440,0,3,0,3,50250,0
balanced,A_max,,124,1,1,1,35,366,6,0,0,0,0,0,49594464,3726159,49594464,391320,286446240,0,31,0,31,289949,0
balanced,A_max,,125,1,1,1,13,21,1,1,0,0,0,0,2845584,181,2845584,0,16435440,0,3,0,3,61552,0
balanced,A_max,,126,1,1,1,30,140,2,0,0,0,0,0,18970560,3342933,18970560,391320,109569600,0,29,0,29,217926,0
balanced,A_max,,127,1,1,1,63,135,2,0,0,0,0,0,18293040,3172900,18293040,391320,105656400,0,9,0,9,81527,0
balanced,B_p99p9,99.9,0,1,1,1,42,151,3,0,0,0,0,19671,20461104,3814089,20461104,391320,118178640,0,33,0,33,394196,764
balanced,B_p99p9,99.9,1,1,1,1,33,171,3,0,0,0,0,21602,23171184,2620977,23171184,391320,133831440,0,26,0,26,443327,1642
balanced,B_p99p9,99.9,2,1,1,1,30,696,12,0,0,0,0,91056,94310784,3217945,94310784,391320,544717440,0,24,0,24,1712688,4408
balanced,B_p99p9,99.9,3,1,1,1,46,310,5,0,0,0,0,40502,42006240,3558021,42006240,391320,242618400,0,30,0,30,973369,4126
balanced,B_p99p9,99.9,4,1,1,1,26,156,3,0,0,0,0,19679,21138624,3860636,21138624,391320,122091840,0,33,0,33,469817,697
balanced,B_p99p9,99.9,5,1,1,1,22,116,2,0,0,0,0,15609,15718464,226166,15718464,391320,90786240,0,6,0,6,258734,1851
balanced,B_p99p9,99.9,6,1,1,1,35,225,4,0,0,0,0,29491,30488400,3524888,30488400,391320,176094000,0,31,0,31,620127,1904
