configuration,b,M,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,decision_agrees_with_float,decision_hamming_distance,iterations,relay_legs,iterations_agree_with_float,legs_agree_with_float,selected_solution_weight,saturation_physical_prior,saturation_lambda_bias,saturation_check_messages,saturation_guard_accumulator,saturation_variable_messages,saturation_marginals
balanced,8,16,7,1,1,1,0,29,34,1,0,0,367.54835723090434,0,0,0,0,9422036,1636129
balanced,8,16,8,1,1,1,0,27,28,1,0,1,353.32071911028163,0,0,0,0,7426289,1291086
balanced,8,16,9,1,1,1,0,45,182,3,0,0,371.2572676323397,0,0,0,0,58105793,10025454
balanced,8,16,10,1,1,1,0,24,23,1,0,1,338.3058737049273,0,0,0,0,5576678,972513
balanced,8,16,11,1,1,1,0,48,116,2,0,0,406.87333544887383,0,0,0,0,35699221,6194341
balanced,8,16,12,1,1,1,0,26,42,1,0,1,390.6551592319578,0,0,0,0,12145926,2110839
balanced,8,16,13,1,1,1,0,60,116,2,0,0,419.6988191817045,0,0,0,0,35736207,6176912
balanced,8,16,14,1,1,1,0,24,32,1,0,1,338.5979398863363,0,0,0,0,8498323,1481542
balanced,8,16,15,1,1,1,0,56,114,2,0,0,345.48325973646496,0,0,0,0,35956165,6209507
balanced,8,16,16,1,1,1,0,12,166,3,0,0,411.4237892817099,0,0,0,0,50115681,8662188
balanced,8,16,17,1,1,1,0,26,37,1,0,1,305.6760592640092,0,0,0,0,11248096,1942902
balanced,8,16,18,1,1,1,0,56,168,3,0,0,483.19519467499657,0,0,0,0,47890143,8322816
balanced,8,16,19,1,1,1,0,16,27,1,0,1,381.1940697065229,0,0,0,0,6576384,1150662
balanced,8,16,20,1,1,1,0,6,44,1,0,1,286.36505775018753,0,0,0,0,13913184,2410045
balanced,8,16,21,1,1,1,1,0,14,1,1,1,273.57854771508386,0,0,0,0,3040775,531394
balanced,8,16,22,1,1,1,0,16,25,1,0,1,308.5124129581066,0,0,0,0,6379077,1115306
balanced,8,16,23,1,1,1,0,17,38,1,0,1,348.9287107278032,0,0,0,0,11058981,1916052
balanced,8,16,24,1,1,1,0,20,29,1,0,1,311.34676067526306,0,0,0,0,8165186,1416440
balanced,8,16,25,1,1,1,0,12,27,1,0,1,233.46049367038287,0,0,0,0,7461484,1299142
balanced,8,16,26,1,1,1,0,21,27,1,1,1,287.54706712272224,0,0,0,0,7031125,1227206
balanced,8,16,27,1,1,1,0,27,19,1,0,1,282.4251143019695,0,0,0,0,4733196,825550
