configuration,b,M,guard_bits,sample_seed,shot,syndrome_converged,logical_action_match,logically_correct,syndrome_valid_logical_error,non_convergence,float_logically_correct,iterations,float_iterations,relay_legs,float_relay_legs,selected_solution_weight,float_selected_solution_weight,prior_clipping,lambda_saturation,check_message_saturation,variable_message_saturation,marginal_saturation,accumulator_saturation,stored_operation_count,marginal_operation_count
balanced,14,16,4,20260810,7,1,1,1,0,0,1,26,117,1,2,300.77962120470977,339.54945456192297,0,0,0,727124,138364,0,23939496,1761552
balanced,14,16,4,20260810,8,1,1,1,0,0,1,47,41,1,1,395.78526449464493,403.7327931923545,0,0,0,958204,186516,0,43220520,3184344
balanced,14,16,4,20260810,9,1,1,1,0,0,1,188,178,3,3,408.40304374569945,413.17602964338323,0,0,0,17487173,2917303,0,172678824,12737376
balanced,14,16,4,20260810,10,1,1,1,0,0,1,29,21,1,1,391.1208559091043,390.5269860841997,0,0,0,92702,20201,0,26693928,1964808
balanced,14,16,4,20260810,11,1,1,1,0,0,1,19,44,1,1,322.48308138886375,328.14111163253386,0,0,0,0,0,0,17512488,1287288
balanced,14,16,4,20260810,12,1,1,1,0,0,1,26,23,1,1,363.29005184646144,309.88896537221774,0,0,0,1546350,276822,0,23939496,1761552
balanced,14,16,4,20260810,13,1,1,1,0,0,1,34,28,1,1,309.2197442624654,308.7297321968356,0,0,0,2709708,472603,0,31284648,2303568
balanced,14,16,4,20260810,14,1,1,1,0,0,1,184,21,3,1,325.42996143523544,292.0137652710964,0,0,0,20095970,3331098,0,169006248,12466368
balanced,14,16,4,20260810,15,1,1,1,0,0,1,16,40,1,1,273.29692897709754,339.24973309515616,0,0,0,0,0,0,14758056,1084032
balanced,14,16,4,20260810,16,1,1,1,0,0,1,29,24,1,1,271.83376783809126,270.0420088370274,0,0,0,165458,36047,0,26693928,1964808
balanced,14,16,4,20260810,17,1,1,1,0,0,1,26,13,1,1,393.2434727162663,381.6427260802042,0,0,0,39595,9183,0,23939496,1761552
balanced,14,16,4,20260810,18,1,1,1,0,0,1,54,18,1,1,306.332404546578,299.6085724802879,0,0,0,9427769,1575904,0,49647528,3658608
balanced,14,16,4,20260810,19,1,1,1,0,0,1,29,36,1,1,377.47886895757136,368.8315699259588,0,0,0,164796,34726,0,26693928,1964808
balanced,14,16,4,20260810,20,1,1,1,0,0,1,16,35,1,1,307.02095243760357,323.12511019006047,0,0,0,0,0,0,14758056,1084032
balanced,14,16,4,20260810,21,1,1,1,0,0,1,133,30,2,1,325.29759283719704,296.4717643378872,0,0,0,20292516,3359916,0,122180904,9011016
balanced,14,16,4,20260810,22,1,1,1,0,0,1,26,33,1,1,258.8488401344117,273.4804678591191,0,0,0,732339,142098,0,23939496,1761552
balanced,14,16,4,20260810,23,1,1,1,0,0,1,134,28,2,1,404.052726536491,351.1825132953932,0,0,0,17288379,2880766,0,123099048,9078768
balanced,14,16,4,20260810,24,1,1,1,0,0,1,28,26,1,1,341.5640614914419,349.4407365165133,0,0,0,171458,37356,0,25775784,1897056
balanced,14,16,4,20260810,25,1,1,1,0,0,1,29,45,1,1,339.0157676881215,407.60111912158175,0,0,0,366186,72074,0,26693928,1964808
balanced,14,16,4,20260810,26,1,1,1,0,0,1,181,66,3,1,510.01727401808824,455.28849804885164,0,0,0,14018043,2362748,0,166251816,12263112
balanced,14,16,4,20260810,27,1,1,1,0,0,1,44,25,1,1,366.1912450757294,382.17007459500917,0,0,0,2226035,395541,0,40466088,2981088
balanced,14,16,4,20260810,28,1,1,1,0,0,1,16,15,1,1,397.2290254529588,398.52242230150136,0,0,0,0,0,0,14758056,1084032
balanced,14,16,4,20260810,29,1,1,1,0,0,1,241,126,4,2,343.582876495453,337.72514575306855,0,0,0,14950154,2502125,0,221340456,16328232
balanced,14,16,4,20260810,30,1,1,1,0,0,1,32,21,1,1,263.3198737606095,248.57562665168305,0,0,0,2447131,448456,0,29448360,2168064
balanced,14,16,4,20260810,31,1,1,1,0,0,1,20,69,1,1,336.5171363064717,322.96210429496466,0,0,0,154,86,0,18430632,1355040
balanced,14,16,4,20260810,32,1,1,1,0,0,1,52,16,1,1,353.5959157507848,388.1751902535789,0,0,0,8646548,1456883,0,47811240,3523104
balanced,14,16,4,20260810,33,1,1,1,0,0,1,117,47,2,1,364.6241650682414,439.3346654948589,0,0,0,14227278,2379563,0,107490600,7926984
balanced,14,16,4,20260810,34,1,1,1,0,0,1,28,20,1,1,413.55825711524534,402.1761809856231,0,0,0,3135,823,0,25775784,1897056
balanced,14,16,4,20260810,35,1,1,1,0,0,1,20,36,1,1,263.591571947936,263.76366473461053,0,0,0,19509,4166,0,18430632,1355040
balanced,14,16,4,20260810,36,1,1,1,0,0,1,38,37,1,1,252.3353940488227,247.66362282152159,0,0,0,5482532,925551,0,34957224,2574576
balanced,14,16,4,20260810,37,1,1,1,0,0,1,23,21,1,1,257.9066197750411,273.0842234902355,0,0,0,711016,135671,0,21185064,1558296
balanced,14,16,4,20260810,38,1,1,1,0,0,1,21,16,1,1,224.96356980016563,232.0928665866565,0,0,0,24211,5903,0,19348776,1422792
balanced,14,16,4,20260810,39,1,1,1,0,0,1,26,23,1,1,301.2387626345279,311.1790682404327,0,0,0,886140,165270,0,23939496,1761552
balanced,14,16,4,20260810,40,1,1,1,0,0,1,34,33,1,1,316.1874079489505,339.1082961229702,0,0,0,1083955,203320,0,31284648,2303568
balanced,14,16,4,20260810,41,1,1,1,0,0,1,49,20,1,1,425.2630744084266,432.7248528330902,0,0,0,5214779,892933,0,45056808,3319848
balanced,14,16,4,20260810,42,1,1,1,0,0,1,34,18,1,1,328.27332835472896,313.7804428261875,0,0,0,2828676,494993,0,31284648,2303568
balanced,14,16,4,20260810,43,1,1,1,0,0,1,17,14,1,1,260.6769847589577,273.66490937024776,0,0,0,0,0,0,15676200,1151784
balanced,14,16,4,20260810,44,1,1,1,0,0,1,46,22,1,1,280.26303832828273,260.17455082985055,0,0,0,6167764,1068962,0,42302376,3116592
balanced,14,16,4,20260810,45,1,1,1,0,0,1,709,430,12,7,353.40263553862997,360.88183333398666,0,0,0,19233118,3188449,0,651031848,48036168
balanced,14,16,4,20260810,46,1,1,1,0,0,1,23,18,1,1,355.3890245257553,366.97673023523055,0,0,0,100513,21440,0,21185064,1558296
balanced,14,16,4,20260810,47,1,1,1,0,0,1,24,22,1,1,361.7735430036529,342.8523414560916,0,0,0,1862,535,0,22103208,1626048
