original_edge_id,metis_locality_partition,BA1_residue,BA2_residue,BA3_residue
969,1,2,2,3
970,1,1,1,2
971,1,3,3,2
972,0,2,2,3
973,1,3,3,3
974,1,0,0,2
975,1,1,1,3
976,1,2,2,2
977,1,3,3,3
978,1,0,0,2
979,1,1,1,3
980,1,2,2,3
981,1,0,0,2
982,1,1,1,3
983,1,2,2,2
984,1,3,3,1
985,1,0,0,1
986,0,1,1,0
987,1,3,3,1
988,1,0,0,1
989,1,1,1,1
990,1,2,2,1
991,1,1,1,1
992,0,2,2,0
993,0,3,3,0
994,0,0,0,0
995,1,1,1,1
996,0,2,2,0
997,0,3,3,0
998,0,0,0,0
999,0,1,1,0
1000,0,2,2,0
1001,0,3,3,0
1002,0,3,3,0
1003,0,0,0,0
1004,0,1,1,0
1005,0,2,2,0
1006,0,3,3,0
1007,0,0,0,0
1008,1,3,3,1
1009,0,0,0,0
1010,0,1,1,0
1011,0,1,1,0
1012,0,2,2,0
1013,0,2,2,0
1014,0,3,3,0
1015,0,0,0,0
1016,0,1,1,0
1017,0,2,2,0
1018,0,3,3,0
1019,0,3,3,0
1020,1,1,1,3
1021,1,0,0,3
1022,1,2,2,2
1023,0,1,1,2
1024,1,2,2,2
1025,1,3,3,3
1026,1,0,0,2
1027,1,1,1,3
1028,1,2,2,2
1029,1,3,3,3
1030,1,0,0,3
1031,1,3,3,2
1032,1,1,1,2
1033,1,0,0,3
1034,1,1,1,2
1035,1,2,2,1
1036,1,3,3,1
1037,1,0,0,1
1038,1,0,0,1
1039,0,2,2,0
1040,1,3,3,1
1041,1,0,0,1
1042,1,1,1,1
1043,0,1,1,0
1044,0,2,2,0
1045,0,3,3,0
1046,1,0,0,1
1047,0,1,1,0
1048,0,2,2,0
1049,0,3,3,0
1050,0,0,0,0
1051,0,1,1,0
1052,0,2,2,0
1053,0,3,3,0
1054,0,0,0,0
1055,0,1,1,0
1056,0,2,2,0
1057,0,3,3,0
1058,0,2,2,0
1059,1,0,0,1
1060,0,3,3,0
1061,0,0,0,0
1062,0,0,0,0
1063,0,1,1,0
1064,0,1,1,0
1065,0,2,2,0
1066,0,2,2,0
1067,0,3,3,0
1068,0,0,0,0
1069,0,1,1,0
1070,0,2,2,0
1071,1,3,3,3
1072,1,0,0,3
1073,1,0,0,2
1074,0,1,1,2
1075,1,3,3,3
1076,1,2,2,2
1077,1,3,3,3
1078,1,1,1,2
1079,1,1,1,3
1080,1,0,0,3
1081,1,2,2,2
1082,1,3,3,3
1083,1,2,2,2
1084,1,3,3,3
1085,1,0,0,2
1086,1,1,1,1
1087,1,2,2,1
1088,1,3,3,1
1089,1,0,0,1
1090,0,1,1,0
1091,1,2,2,1
1092,1,3,3,1
1093,1,0,0,1
1094,1,0,0,1
1095,0,1,1,0
1096,0,2,2,0
1097,0,3,3,0
1098,0,0,0,0
1099,0,1,1,0
1100,0,2,2,0
1101,0,3,3,0
1102,0,0,0,0
1103,0,1,1,0
1104,0,1,1,0
1105,0,2,2,0
1106,0,3,3,0
1107,0,0,0,0
1108,0,1,1,0
1109,0,2,2,0
1110,1,1,1,1
1111,0,2,2,0
1112,0,3,3,0
1113,0,3,3,0
1114,0,0,0,0
1115,0,0,0,0
1116,0,1,1,0
1117,0,1,1,0
1118,0,2,2,0
1119,0,3,3,0
1120,0,0,0,0
1121,0,1,1,0
1122,1,0,0,2
1123,1,3,3,2
1124,1,3,3,3
1125,0,0,0,3
1126,1,2,2,2
1127,1,1,1,3
1128,1,2,2,2
1129,1,0,0,3
1130,1,2,2,3
1131,1,3,3,2
1132,1,1,1,3
1133,1,2,2,2
1134,1,1,1,2
1135,1,2,2,3
1136,1,3,3,2
1137,1,0,0,1
1138,1,1,1,1
1139,1,3,3,1
1140,1,2,2,1
1141,0,0,0,0
1142,1,1,1,1
1143,1,2,2,1
1144,1,3,3,1
1145,0,3,3,0
1146,0,0,0,0
1147,0,1,1,0
1148,1,2,2,1
1149,0,3,3,0
1150,0,0,0,0
1151,0,1,1,0
1152,0,2,2,0
1153,0,3,3,0
1154,0,0,0,0
1155,0,0,0,0
1156,0,1,1,0
1157,0,2,2,0
1158,0,3,3,0
1159,0,0,0,0
1160,0,1,1,0
1161,1,2,2,1
1162,0,1,1,0
1163,0,2,2,0
1164,0,2,2,0
1165,0,3,3,0
1166,0,3,3,0
1167,0,0,0,0
1168,0,0,0,0
1169,0,1,1,0
1170,0,2,2,0
1171,0,3,3,0
1172,0,0,0,0
1173,1,1,1,3
1174,1,2,2,3
1175,1,2,2,2
1176,0,3,3,2
1177,1,1,1,3
1178,1,0,0,2
1179,1,1,1,3
1180,1,3,3,2
1181,1,3,3,3
1182,0,2,2,3
1183,1,0,0,2
1184,1,1,1,3
1185,1,0,0,2
1186,1,1,1,3
1187,1,2,2,2
1188,1,3,3,3
1189,1,0,0,2
1190,1,1,1,1
1191,1,2,2,1
1192,0,3,3,0
1193,1,0,0,1
1194,1,1,1,1
1195,1,2,2,1
1196,1,2,2,1
1197,0,3,3,0
1198,0,0,0,0
1199,0,1,1,0
1200,0,2,2,0
1201,0,3,3,0
1202,0,0,0,0
1203,0,1,1,0
1204,0,2,2,0
1205,0,3,3,0
1206,0,3,3,0
1207,0,0,0,0
1208,0,1,1,0
1209,0,2,2,0
1210,0,3,3,0
1211,0,0,0,0
1212,0,1,1,0
1213,0,2,2,0
1214,0,3,3,0
1215,0,0,0,0
1216,0,1,1,0
1217,0,0,0,0
1218,1,3,3,1
1219,0,1,1,0
1220,0,2,2,0
1221,0,2,2,0
1222,0,3,3,0
1223,0,3,3,0
1224,1,0,0,3
1225,1,0,0,3
1226,1,2,2,3
1227,0,1,1,2
1228,1,2,2,2
1229,1,3,3,3
1230,1,0,0,2
1231,0,1,1,3
1232,1,2,2,2
1233,1,3,3,3
1234,1,1,1,2
1235,1,0,0,2
1236,1,1,1,2
1237,1,3,3,1
1238,1,1,1,1
1239,1,2,2,1
1240,1,3,3,1
1241,1,0,0,1
1242,1,0,0,1
1243,0,2,2,0
1244,1,3,3,1
1245,1,0,0,1
1246,1,1,1,1
1247,0,1,1,0
1248,0,2,2,0
1249,0,3,3,0
1250,1,0,0,1
1251,0,1,1,0
1252,0,2,2,0
1253,0,3,3,0
1254,0,0,0,0
1255,0,1,1,0
1256,0,2,2,0
1257,0,2,2,0
1258,0,3,3,0
1259,0,0,0,0
1260,0,1,1,0
1261,0,2,2,0
1262,0,3,3,0
1263,1,0,0,1
1264,0,3,3,0
1265,0,0,0,0
1266,0,0,0,0
1267,0,1,1,0
1268,0,1,1,0
1269,0,2,2,0
1270,0,2,2,0
1271,0,3,3,0
1272,0,0,0,0
1273,0,1,1,0
1274,0,2,2,0
1275,1,3,3,2
1276,1,3,3,2
1277,1,1,1,3
1278,1,0,0,3
1279,1,1,1,3
1280,0,2,2,2
1281,1,3,3,3
1282,0,0,0,2
1283,1,1,1,3
1284,1,2,2,2
1285,1,0,0,3
1286,1,0,0,3
1287,1,3,3,2
1288,1,2,2,3
1289,1,0,0,2
1290,1,1,1,1
1291,1,2,2,1
1292,0,3,3,0
1293,1,1,1,1
1294,1,2,2,1
1295,1,3,3,1
1296,1,0,0,1
1297,1,3,3,1
1298,1,0,0,1
1299,0,1,1,0
1300,0,2,2,0
1301,0,3,3,0
1302,0,0,0,0
1303,0,1,1,0
1304,0,2,2,0
1305,0,3,3,0
1306,0,0,0,0
1307,0,1,1,0
1308,0,1,1,0
1309,0,2,2,0
1310,0,3,3,0
1311,0,0,0,0
1312,0,1,1,0
1313,0,2,2,0
1314,1,1,1,1
1315,0,2,2,0
1316,0,3,3,0
1317,0,3,3,0
1318,0,0,0,0
1319,0,0,0,0
1320,0,1,1,0
1321,0,1,1,0
1322,0,2,2,0
1323,0,3,3,0
1324,0,0,0,0
1325,0,1,1,0
1326,1,2,2,3
1327,1,0,0,3
1328,1,2,2,3
1329,1,3,3,2
1330,0,0,0,2
1331,0,1,1,3
1332,0,2,2,2
1333,1,3,3,2
1334,1,3,3,3
1335,0,0,0,2
1336,1,1,1,3
1337,1,2,2,2
1338,1,3,3,2
1339,1,3,3,3
1340,1,1,1,2
1341,1,0,0,1
1342,1,1,1,1
1343,1,2,2,1
1344,1,2,2,1
1345,0,0,0,0
