original_fault_id,metis_locality_partition,BA1_residue,BA2_residue,BA3_residue
970,0,1,1,1
971,0,0,0,3
972,1,1,0,1
973,0,3,3,0
974,0,2,2,0
975,0,1,1,1
976,0,0,0,2
977,0,3,3,3
978,1,0,0,3
979,1,2,3,1
980,1,1,1,0
981,1,3,3,2
982,1,3,1,0
983,1,2,3,1
984,0,0,0,3
985,1,1,1,1
986,1,2,2,1
987,1,0,0,3
988,0,3,3,0
989,0,1,1,1
990,0,0,0,3
991,1,2,2,2
992,0,3,3,0
993,0,2,2,2
994,0,1,0,3
995,0,0,1,1
996,0,3,3,0
997,0,1,2,2
998,0,3,3,1
999,0,2,2,3
1000,0,0,0,0
1001,0,3,3,0
1002,0,1,1,2
1003,0,2,0,3
1004,1,2,2,1
1005,0,0,0,2
1006,0,2,2,3
1007,0,1,1,1
1008,0,3,3,0
1009,0,3,3,3
1010,0,3,3,0
1011,0,1,1,1
1012,0,0,0,0
1013,0,2,2,2
1014,0,3,3,1
1015,0,0,0,3
1016,1,0,2,0
1017,1,3,0,1
1018,0,3,2,0
1019,1,2,0,1
1020,1,1,3,3
1021,1,0,1,2
1022,1,0,0,0
1023,1,2,2,1
1024,1,3,3,1
1025,0,1,1,3
1026,0,0,0,0
1027,0,2,2,2
1028,0,3,3,1
1029,0,1,1,0
1030,0,3,2,2
1031,0,0,0,3
1032,0,2,3,0
1033,0,1,1,1
1034,0,1,1,0
1035,0,3,0,2
1036,0,2,2,1
1037,0,0,3,3
1038,0,1,1,0
1039,0,3,3,2
1040,1,2,2,1
1041,0,3,3,0
1042,0,2,2,1
1043,0,1,3,2
1044,0,0,0,3
1045,0,3,1,0
1046,0,2,2,0
1047,0,0,0,3
1048,0,1,1,0
1049,0,3,2,1
1050,0,2,3,2
1051,0,0,0,0
1052,1,1,2,3
1053,1,2,1,1
1054,1,0,3,0
1055,1,2,2,1
1056,0,0,0,2
1057,1,3,3,3
1058,1,2,2,1
1059,1,0,0,1
1060,0,1,1,0
1061,0,3,3,3
1062,0,0,0,2
1063,1,2,2,1
1064,0,2,2,0
1065,0,3,3,3
1066,0,1,1,2
1067,0,0,0,1
1068,0,2,2,0
1069,0,0,0,1
1070,0,2,2,1
1071,0,0,0,0
1072,0,1,1,3
1073,0,3,3,0
1074,0,2,2,2
1075,0,1,0,1
1076,1,0,3,1
1077,0,2,2,2
1078,0,3,1,0
1079,0,0,0,0
1080,0,1,3,3
1081,0,0,0,2
1082,0,3,2,2
1083,0,1,3,3
1084,0,0,0,0
1085,0,3,1,1
1086,0,2,2,2
1087,0,0,3,0
1088,1,2,2,2
1089,1,1,0,3
1090,1,3,3,1
1091,1,0,1,2
1092,1,3,2,0
1093,1,1,3,1
1094,0,0,0,3
1095,1,2,1,2
1096,0,2,2,0
1097,0,0,0,1
1098,0,3,3,3
1099,1,1,1,2
1100,0,1,1,2
1101,0,3,3,3
1102,0,0,0,2
1103,0,2,2,0
1104,0,1,1,1
1105,0,3,3,0
1106,0,2,2,1
1107,0,1,1,3
1108,0,3,3,0
1109,0,2,2,0
1110,0,0,0,2
1111,0,1,3,1
1112,1,0,3,1
1113,0,3,0,1
1114,0,1,1,3
1115,0,2,2,0
1116,0,3,3,0
1117,0,1,1,1
1118,0,3,2,3
1119,0,0,0,2
1120,0,2,3,0
1121,0,1,2,1
1122,0,3,0,3
1123,0,0,1,2
1124,1,0,3,1
1125,1,2,0,1
1126,1,2,1,1
1127,1,3,0,3
1128,1,0,3,2
1129,1,3,1,3
1130,0,1,0,1
1131,1,2,3,2
1132,0,0,2,0
1133,0,3,3,2
1134,0,1,0,1
1135,1,0,1,3
1136,0,3,2,0
1137,0,2,1,3
1138,0,0,0,2
1139,0,1,3,1
1140,0,3,2,0
1141,0,0,1,3
1142,0,3,3,1
1143,0,2,2,3
1144,0,0,0,0
1145,0,3,3,1
1146,0,1,1,2
1147,0,2,0,0
1148,1,3,2,1
1149,0,1,0,0
1150,0,2,3,3
1151,0,0,1,1
1152,0,3,2,0
1153,0,0,0,1
1154,0,0,0,0
1155,0,3,2,2
1156,0,1,1,3
1157,0,2,3,0
1158,0,3,2,1
1159,0,0,0,2
1160,1,1,2,1
1161,1,3,3,1
1162,0,0,1,3
1163,1,3,3,2
1164,1,1,2,1
1165,1,0,1,3
1166,0,2,0,0
1167,0,3,3,1
1168,0,1,1,2
1169,1,0,0,1
1170,0,3,3,0
1171,0,0,2,3
1172,0,2,1,2
1173,0,1,3,3
1174,0,3,0,0
1175,0,0,2,2
1176,0,3,3,1
1177,0,0,0,3
1178,0,1,1,0
1179,0,3,3,0
1180,0,2,2,2
1181,0,0,0,3
1182,0,1,1,0
1183,0,2,2,1
1184,0,0,0,0
1185,0,3,3,0
1186,0,1,1,3
1187,0,2,2,2
1188,1,3,3,1
1189,0,1,1,3
1190,0,0,0,0
1191,0,1,1,0
1192,0,3,3,2
1193,0,0,0,1
1194,1,1,3,1
1195,1,0,2,0
1196,1,2,0,1
1197,1,3,3,1
1198,0,2,2,0
1199,1,0,0,1
1200,1,3,3,2
1201,1,2,2,0
1202,1,1,1,3
1203,1,0,0,1
1204,0,2,2,2
1205,0,3,3,1
1206,0,1,1,0
1207,0,0,0,3
1208,0,0,0,1
1209,0,2,2,3
1210,0,1,1,0
1211,0,3,3,2
1212,0,0,0,1
1213,0,0,0,0
1214,0,2,2,0
1215,0,1,1,2
1216,0,0,0,1
1217,0,3,3,3
1218,0,2,2,0
1219,0,1,1,2
1220,1,0,2,1
1221,0,3,0,2
1222,0,0,3,3
1223,0,1,1,1
1224,0,2,2,0
1225,0,3,3,3
1226,0,2,3,0
1227,0,1,1,1
1228,0,3,0,0
1229,0,0,3,2
1230,0,2,2,1
1231,0,1,1,3
1232,1,0,1,2
1233,1,0,0,1
1234,0,2,3,0
1235,1,3,2,1
1236,1,1,0,3
1237,1,2,1,2
1238,1,3,2,1
1239,1,0,3,1
1240,0,0,0,0
1241,0,3,3,2
1242,0,1,2,0
1243,0,2,1,3
1244,0,0,0,1
1245,0,3,3,3
1246,0,2,1,2
1247,0,1,2,0
1248,0,0,0,1
1249,0,3,3,0
1250,0,2,2,1
1251,0,1,1,3
1252,0,3,3,0
1253,0,2,2,1
1254,0,0,0,2
1255,0,1,1,0
1256,1,0,0,1
1257,0,3,3,0
1258,0,2,1,3
1259,0,1,2,2
1260,0,0,0,0
1261,0,3,3,1
1262,0,2,1,0
1263,0,1,0,2
1264,0,2,2,0
1265,0,0,1,3
1266,0,3,3,1
1267,0,1,0,0
1268,1,3,2,0
1269,1,1,1,1
1270,0,2,2,3
1271,1,3,3,1
1272,1,0,0,2
1273,1,2,2,3
1274,1,3,3,1
1275,1,0,0,2
1276,0,1,1,0
1277,0,2,2,3
1278,0,0,0,1
1279,0,3,3,2
1280,0,1,1,1
1281,0,2,2,3
1282,0,0,0,0
1283,0,1,1,1
1284,0,3,3,2
1285,0,2,2,0
1286,0,0,0,1
1287,0,3,3,2
1288,0,2,2,3
1289,0,1,1,0
1290,0,0,0,1
1291,0,2,2,2
1292,1,3,3,3
1293,0,0,0,1
1294,0,3,1,0
1295,0,2,2,0
1296,0,1,3,2
1297,0,3,1,1
1298,0,3,3,0
1299,0,2,2,3
1300,0,0,0,0
1301,0,1,1,1
1302,0,3,3,2
1303,0,2,2,0
1304,1,0,0,1
1305,1,3,1,3
1306,1,2,3,3
1307,1,0,0,1
1308,0,1,1,0
1309,1,3,3,2
1310,1,2,2,1
1311,1,0,0,1
1312,1,1,1,2
1313,0,2,2,3
1314,0,3,3,0
1315,0,0,0,1
1316,0,1,1,3
1317,0,3,3,1
1318,0,0,0,2
1319,0,1,1,0
1320,0,2,2,3
1321,0,3,0,1
