first_gamma,later_gamma_low,later_gamma_high,S,R,shot,syndrome_converged,logical_action_match,logically_correct,selected_weight,iterations,first_leg_iterations,legs,solutions,first_leg_success,rescued
0.0,-0.24,0.66,1,4,80,1,1,1,443.1914966033312,167,80,3,1,False,True
0.0,-0.24,0.66,1,4,81,1,1,1,411.00973875648066,110,80,2,1,False,True
0.0,-0.24,0.66,1,4,82,1,1,1,310.09791529628717,96,80,2,1,False,True
0.0,-0.24,0.66,1,4,83,1,1,1,469.6812733244428,174,80,3,1,False,True
0.0,-0.24,0.66,1,4,84,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,85,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,86,1,1,1,355.45825674683294,102,80,2,1,False,True
0.0,-0.24,0.66,1,4,87,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,88,1,1,1,376.4964306315527,99,80,2,1,False,True
0.0,-0.24,0.66,1,4,89,1,1,1,383.5524685215188,105,80,2,1,False,True
0.0,-0.24,0.66,1,4,90,1,1,1,328.6030767439968,103,80,2,1,False,True
0.0,-0.24,0.66,1,4,91,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,92,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,93,1,1,1,325.42355114586394,121,80,2,1,False,True
0.0,-0.24,0.66,1,4,94,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,95,1,1,1,343.0473354693597,69,69,1,1,True,False
0.0,-0.24,0.66,1,4,96,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,97,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,98,1,1,1,371.92074453153634,129,80,2,1,False,True
0.0,-0.24,0.66,1,4,99,1,1,1,357.836169237375,156,80,3,1,False,True
0.0,-0.24,0.66,1,4,100,1,1,1,430.32193059951476,198,80,3,1,False,True
0.0,-0.24,0.66,1,4,101,1,1,1,340.4657891849989,130,80,2,1,False,True
0.0,-0.24,0.66,1,4,102,1,1,1,267.52501563702543,149,80,3,1,False,True
0.0,-0.24,0.66,1,4,103,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,104,1,1,1,316.56243660209236,153,80,3,1,False,True
0.0,-0.24,0.66,1,4,105,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,106,1,1,1,325.1867009595396,93,80,2,1,False,True
0.0,-0.24,0.66,1,4,107,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,108,1,1,1,376.8723806687184,154,80,3,1,False,True
0.0,-0.24,0.66,1,4,109,1,1,1,447.07992399544077,123,80,2,1,False,True
0.0,-0.24,0.66,1,4,110,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,111,1,1,1,410.0853408568064,109,80,2,1,False,True
0.0,-0.24,0.66,1,4,112,1,1,1,362.2543456624307,131,80,2,1,False,True
0.0,-0.24,0.66,1,4,113,1,1,1,317.54997856227953,91,80,2,1,False,True
0.0,-0.24,0.66,1,4,114,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,115,1,1,1,297.6031703975659,156,80,3,1,False,True
0.0,-0.24,0.66,1,4,116,1,1,1,386.6753847762949,213,80,4,1,False,True
0.0,-0.24,0.66,1,4,117,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,118,1,1,1,363.6419135825912,158,80,3,1,False,True
0.0,-0.24,0.66,1,4,119,1,1,1,327.4525085953006,197,80,3,1,False,True
