policy,winner,first_success_cycles,first_success_quanta,global_failure,e0_work_before_first,e1_work_before_first,e0_flagged_work_before_first,e1_flagged_work_before_first,total_full_service_quanta,e0_total_work,e1_total_work,e0_flagged_work,e1_flagged_work,e0_ever_flagged,e1_ever_flagged,max_e0_service_gap,max_e1_service_gap,total_requested_accesses,total_issued_groups,total_retry_subsets,mean_active_lanes,lane_utilization,sample_seed,shot,winner_logical_correct,winner_syndrome_valid,winner_correction_hash,changed_winner,lost_success,logical_regression,invalid,cycles_delta_vs_round_robin,cycles_percent_vs_round_robin,classification
P0_round_robin,0,262523345.0,81,0,41,40,0,0,82,41,41,0,0,0,0,1,1,295178472.0,114487600.0,4008244.0,2.5782571387643727,0.6445642846910932,20260809,19,1,1,6e61d2bd82ce72db85a1db19e1d2936c6a3ee83c852ecd88db72072fabe3ced9,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,262523345.0,81,0,41,40,0,0,82,41,41,0,0,0,0,1,1,295178472.0,114487600.0,4008244.0,2.5782571387643727,0.6445642846910932,20260809,19,1,1,6e61d2bd82ce72db85a1db19e1d2936c6a3ee83c852ecd88db72072fabe3ced9,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,262523345.0,81,0,41,40,0,0,82,41,41,0,0,0,0,1,1,295178472.0,114487600.0,4008244.0,2.5782571387643727,0.6445642846910932,20260809,19,1,1,6e61d2bd82ce72db85a1db19e1d2936c6a3ee83c852ecd88db72072fabe3ced9,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,474689255.0,147,0,74,73,0,0,148,74,74,0,0,0,0,1,1,533781144.0,207139984.0,7118692.0,2.5769102309093546,0.6442275577273386,20260809,20,1,1,6d8b2f01038cb4a22ba11c09c9ffda52fcbe5acaf18fcbb219f2ae2e86472cea,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,474689255.0,147,0,74,73,0,0,148,74,74,0,0,0,0,1,1,533781144.0,207139984.0,7118692.0,2.5769102309093546,0.6442275577273386,20260809,20,1,1,6d8b2f01038cb4a22ba11c09c9ffda52fcbe5acaf18fcbb219f2ae2e86472cea,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,474689255.0,147,0,74,73,0,0,148,74,74,0,0,0,0,1,1,533781144.0,207139984.0,7118692.0,2.5769102309093546,0.6442275577273386,20260809,20,1,1,6d8b2f01038cb4a22ba11c09c9ffda52fcbe5acaf18fcbb219f2ae2e86472cea,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,166084295.0,51,0,26,25,0,0,52,26,26,0,0,0,0,1,1,186722712.0,72372880.0,2594404.0,2.580009417892448,0.645002354473112,20260809,21,1,1,36314f1dc2c2cbfd838a552555ade99d3e3f4e0a458ff143063054b10cb68921,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,166084295.0,51,0,26,25,0,0,52,26,26,0,0,0,0,1,1,186722712.0,72372880.0,2594404.0,2.580009417892448,0.645002354473112,20260809,21,1,1,36314f1dc2c2cbfd838a552555ade99d3e3f4e0a458ff143063054b10cb68921,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,166084295.0,51,0,26,25,0,0,52,26,26,0,0,0,0,1,1,186722712.0,72372880.0,2594404.0,2.580009417892448,0.645002354473112,20260809,21,1,1,36314f1dc2c2cbfd838a552555ade99d3e3f4e0a458ff143063054b10cb68921,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,256094075.0,79,0,40,39,0,0,80,40,40,0,0,0,0,1,1,287948088.0,111679952.0,3913988.0,2.578332841690333,0.6445832104225833,20260809,22,1,1,8a572a8261a4cf2e9b37291bfc5d3e70683a678c4bc0c629dbd3faa1026ad3e8,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,256094075.0,79,0,40,39,0,0,80,40,40,0,0,0,0,1,1,287948088.0,111679952.0,3913988.0,2.578332841690333,0.6445832104225833,20260809,22,1,1,8a572a8261a4cf2e9b37291bfc5d3e70683a678c4bc0c629dbd3faa1026ad3e8,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,256094075.0,79,0,40,39,0,0,80,40,40,0,0,0,0,1,1,287948088.0,111679952.0,3913988.0,2.578332841690333,0.6445832104225833,20260809,22,1,1,8a572a8261a4cf2e9b37291bfc5d3e70683a678c4bc0c629dbd3faa1026ad3e8,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,650417455.0,201,0,101,100,0,0,421,101,320,0,24,0,1,1,1,731349432.0,283724336.0,9854480.0,2.577676072171687,0.6444190180429218,20260809,23,1,1,8b919ece9fc55d7bb99d8d7b7b6c0f585fc4e180f8e6607d5b0dfa055e9e7e4d,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,650417455.0,201,0,101,100,0,0,421,101,320,0,24,0,1,1,1,731349432.0,283724336.0,9854480.0,2.577676072171687,0.6444190180429218,20260809,23,1,1,8b919ece9fc55d7bb99d8d7b7b6c0f585fc4e180f8e6607d5b0dfa055e9e7e4d,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,650417455.0,201,0,101,100,0,0,421,101,320,0,24,0,1,1,1,731349432.0,283724336.0,9854480.0,2.577676072171687,0.6444190180429218,20260809,23,1,1,8b919ece9fc55d7bb99d8d7b7b6c0f585fc4e180f8e6607d5b0dfa055e9e7e4d,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,817578475.0,253,0,127,126,0,0,255,127,128,0,0,0,0,1,1,919339416.0,356723184.0,12305136.0,2.577178768397627,0.6442946920994067,20260809,24,1,1,c49cb4ec69b732977b1a62126de3c7fb892531fc29c9932b7364380c66982afa,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,817578475.0,253,0,127,126,0,0,255,127,128,0,0,0,0,1,1,919339416.0,356723184.0,12305136.0,2.577178768397627,0.6442946920994067,20260809,24,1,1,c49cb4ec69b732977b1a62126de3c7fb892531fc29c9932b7364380c66982afa,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,817578475.0,253,0,127,126,0,0,255,127,128,0,0,0,0,1,1,919339416.0,356723184.0,12305136.0,2.577178768397627,0.6442946920994067,20260809,24,1,1,c49cb4ec69b732977b1a62126de3c7fb892531fc29c9932b7364380c66982afa,0,0,0,0,0.0,0.0,A_same_success_same_winner
