original_fault_id,partition_id,new_fault_id
1488,0,976
1489,0,977
1490,2,33884
1491,2,33885
1492,0,978
1493,0,979
1494,0,980
1495,0,981
1496,0,982
1497,0,983
1498,0,984
1499,0,985
1500,0,986
1501,0,987
1502,0,988
1503,0,989
1504,0,990
1505,0,991
1506,0,992
1507,0,993
1508,1,17442
1509,0,994
1510,0,995
1511,0,996
1512,0,997
1513,0,998
1514,0,999
1515,0,1000
1516,0,1001
1517,0,1002
1518,0,1003
1519,0,1004
1520,1,17443
1521,1,17444
1522,1,17445
1523,1,17446
1524,1,17447
1525,0,1005
1526,0,1006
1527,0,1007
1528,0,1008
1529,0,1009
1530,0,1010
1531,0,1011
1532,0,1012
1533,0,1013
1534,0,1014
1535,0,1015
1536,0,1016
1537,0,1017
1538,0,1018
1539,0,1019
1540,0,1020
1541,0,1021
1542,0,1022
1543,0,1023
1544,1,17448
1545,0,1024
1546,0,1025
1547,0,1026
1548,0,1027
1549,0,1028
1550,0,1029
1551,0,1030
1552,0,1031
1553,0,1032
1554,0,1033
1555,0,1034
1556,1,17449
1557,1,17450
1558,1,17451
1559,1,17452
1560,1,17453
1561,0,1035
1562,0,1036
1563,0,1037
1564,0,1038
1565,0,1039
1566,0,1040
1567,0,1041
1568,0,1042
1569,0,1043
1570,0,1044
1571,0,1045
1572,0,1046
1573,0,1047
1574,0,1048
1575,0,1049
1576,0,1050
1577,0,1051
1578,0,1052
1579,0,1053
1580,1,17454
1581,0,1054
1582,0,1055
1583,0,1056
1584,0,1057
1585,0,1058
1586,0,1059
1587,0,1060
1588,0,1061
1589,0,1062
1590,0,1063
1591,0,1064
1592,2,33886
1593,2,33887
1594,0,1065
1595,0,1066
1596,0,1067
1597,1,17455
1598,0,1068
1599,0,1069
1600,0,1070
1601,0,1071
1602,0,1072
1603,0,1073
1604,0,1074
1605,0,1075
1606,0,1076
1607,0,1077
1608,0,1078
1609,0,1079
1610,0,1080
1611,0,1081
1612,0,1082
1613,0,1083
1614,0,1084
1615,0,1085
1616,0,1086
1617,0,1087
1618,0,1088
1619,0,1089
1620,1,17456
1621,0,1090
1622,0,1091
1623,0,1092
1624,0,1093
1625,0,1094
