sample_seed,shot,engine,decoder_seed,iterations,relay_legs,syndrome_converged,logically_correct,syndrome_valid_logical_error,selected_weight
20260809,52,3,3009161,42,1,1,1,0,252.36892901675873
20260809,53,0,9153,129,2,1,1,0,362.26342210287305
20260809,53,1,1009156,107,2,1,1,0,365.83419112246656
20260809,53,2,2009159,353,6,1,1,0,388.1489469921637
20260809,53,3,3009162,643,11,1,1,0,370.7059205349469
20260809,54,0,9154,38,1,1,1,0,378.1257195381372
20260809,54,1,1009157,38,1,1,1,0,378.1257195381372
20260809,54,2,2009160,38,1,1,1,0,378.1257195381372
20260809,54,3,3009163,38,1,1,1,0,378.1257195381372
20260809,55,0,9155,120,2,1,1,0,430.8783504422526
20260809,55,1,1009158,101,2,1,1,0,392.9004465118759
20260809,55,2,2009161,128,2,1,1,0,404.1151180696255
20260809,55,3,3009164,153,3,1,1,0,414.85285449497394
20260809,56,0,9156,97,2,1,1,0,323.26461627809977
20260809,56,1,1009159,228,4,1,1,0,359.82421933183616
20260809,56,2,2009162,227,4,1,1,0,368.7894020540508
20260809,56,3,3009165,134,2,1,1,0,325.2511952303787
20260809,57,0,9157,75,1,1,1,0,316.688516628645
20260809,57,1,1009160,75,1,1,1,0,316.688516628645
20260809,57,2,2009163,75,1,1,1,0,316.688516628645
20260809,57,3,3009166,75,1,1,1,0,316.688516628645
20260809,58,0,9158,46,1,1,1,0,344.88527933146213
20260809,58,1,1009161,46,1,1,1,0,344.88527933146213
20260809,58,2,2009164,46,1,1,1,0,344.88527933146213
20260809,58,3,3009167,46,1,1,1,0,344.88527933146213
20260809,59,0,9159,62,1,1,1,0,434.81272223819707
20260809,59,1,1009162,62,1,1,1,0,434.81272223819707
20260809,59,2,2009165,62,1,1,1,0,434.81272223819707
20260809,59,3,3009168,62,1,1,1,0,434.81272223819707
20260809,60,0,9160,110,2,1,1,0,303.73505443758995
20260809,60,1,1009163,105,2,1,1,0,313.8771953458272
20260809,60,2,2009166,414,7,1,1,0,339.866969189359
20260809,60,3,3009169,213,4,1,1,0,310.301602353549
20260809,61,0,9161,95,2,1,1,0,387.93618423462743
20260809,61,1,1009164,105,2,1,1,0,453.6575884394167
20260809,61,2,2009167,99,2,1,1,0,389.78310141011883
20260809,61,3,3009170,188,3,1,1,0,422.14275507909207
20260809,62,0,9162,70,1,1,1,0,365.1642157454962
20260809,62,1,1009165,70,1,1,1,0,365.1642157454962
20260809,62,2,2009168,70,1,1,1,0,365.1642157454962
20260809,62,3,3009171,70,1,1,1,0,365.1642157454962
20260809,63,0,9163,44,1,1,1,0,428.8281907903941
20260809,63,1,1009166,44,1,1,1,0,428.8281907903941
20260809,63,2,2009169,44,1,1,1,0,428.8281907903941
20260809,63,3,3009172,44,1,1,1,0,428.8281907903941
20260809,64,0,9164,19,1,1,1,0,278.7770616951118
20260809,64,1,1009167,19,1,1,1,0,278.7770616951118
20260809,64,2,2009170,19,1,1,1,0,278.7770616951118
20260809,64,3,3009173,19,1,1,1,0,278.7770616951118
20260809,65,0,9165,30,1,1,1,0,291.32337817013274
20260809,65,1,1009168,30,1,1,1,0,291.32337817013274
20260809,65,2,2009171,30,1,1,1,0,291.32337817013274
20260809,65,3,3009174,30,1,1,1,0,291.32337817013274
20260809,66,0,9166,91,2,1,1,0,308.53379610716627
20260809,66,1,1009169,111,2,1,1,0,309.11131937304685
20260809,66,2,2009172,124,2,1,1,0,313.0905976882322
20260809,66,3,3009175,99,2,1,1,0,314.5803702989614
20260809,67,0,9167,117,2,1,1,0,452.74697995625183
20260809,67,1,1009170,101,2,1,1,0,465.9121483507699
20260809,67,2,2009173,108,2,1,1,0,531.0239800782996
20260809,67,3,3009176,140,2,1,1,0,474.0856609411548
20260809,68,0,9168,35,1,1,1,0,278.0653128719078
20260809,68,1,1009171,35,1,1,1,0,278.0653128719078
20260809,68,2,2009174,35,1,1,1,0,278.0653128719078
20260809,68,3,3009177,35,1,1,1,0,278.0653128719078
20260809,69,0,9169,44,1,1,1,0,359.1234501595909
20260809,69,1,1009172,44,1,1,1,0,359.1234501595909
